symbol,ex_date,distribution_per_share,nav_per_share,market_price,roc_pct,source_url,total_received,notes
YMAX,2026-08-19,0.0599,,,,,,roth payout
CONY,2026-08-20,0.2246,,,,,,paid 2026-08-21
MSTY,2026-08-20,0.162,,,,,,paid 2026-08-21
XYLD,2026-08-27,0.3109,,,,,,paid 2026-08-27
SPYI,2026-01-21,0.5309,,,,,,
SPYI,2026-02-18,0.5219,,,,,,
SPYI,2026-03-18,0.5104,,,,,,
SPYI,2026-04-22,0.5247,,,,,,
SPYI,2026-05-20,0.5353,,,,,,
SPYI,2026-06-16,0.5310,,,,,,
SPYI,2026-07-22,0.5300,,,,,,
SPYI,2026-08-19,0.5423,,,0.95,https://neosfunds.com/spyi/,,"95% ROC YTD per NEOS 6/2026 disclosure, 98% per NEOS Dec2025 report -- but total return +8% YTD/+19% 1yr per 24/7wallst 7/2026, unlike MSTY/CONY high-ROC+negative-return pattern"
VOO,2025-03-27,1.8121,,,,,,
VOO,2025-06-30,1.7447,,,,,,
VOO,2025-09-29,1.74,,,,,,
VOO,2025-12-22,1.771,,,,,,
VOO,2026-03-27,1.8724,,,,,,
VOO,2026-06-26,1.9622,,,,,,
RYLD,2026-08-27,0.1653,,,,,,received while held -- position since sold
THW,2026-08-31,0.1167,,,,,,received while held -- position since sold
YMAX,2026-08-26,0.05892,,,,,2.70,received $2.70
CONY,2026-08-27,0.35268,,20.10,,,,received $2.74
MSTY,2026-08-27,0.28367,,14.30,,,,received $2.13
CONY,2026-09-02,,,21.30,0.9656,https://yieldmaxetfs.com/our-etfs/cony/,,96.56% ROC per sponsor -- trailing 12mo total return -36.45% per stockanalysis.com
MSTY,2026-09-02,,,16.29,0.9890,https://yieldmaxetfs.com/our-etfs/msty/,,"98.90% ROC per sponsor -- trailing 12mo total return -56.51% (no DRIP), since-inception +52.5% (with DRIP) per dividendstacker.com"
YMAX,2026-09-02,0.06001,,,0.4335,https://yieldmaxetfs.com/our-etfs/ymax/,2.75,received $2.75; 43.35% ROC / 56.65% real income per sponsor; total return +1.25% past yr / +4.75% YTD (DRIP) -- much healthier than MSTY/CONY
MSTY,2026-09-03,0.2108,,,,,2.51,"received $2.51, based on pre-rollover share count (11.906920) -- rollover shares bought ON ex-date, not eligible"
CONY,2026-09-03,0.2729,,,,,2.12,"received $2.12, based on pre-rollover share count (7.769119) -- rollover shares bought ON ex-date, not eligible"
YMAX,2026-09-10,0.0598,,,,,28.56,"received $28.56, based on 477.5979 shares (pre-$200-purchase)"
AMDY,2026-09-10,0.3761,,,,,8.19,"received $8.19, based on 21.776198 shares"
YMAX,2026-09-16,0.0582,,,,,36.36,"received $36.36, matches current full share count (624.703307)"
SPYI,2026-09-16,0.5338,,,,,95.39,"received $95.39, matches current full share count (178.694700)"
QQQI,2026-09-16,0.6339,,,,,9.90,"received $9.90, roth account, matches current full share count (15.618523)"
QQQI,2026-09-16,0.6339,,,,,1.16,"received $1.16, traditional account, matches current full share count (1.832340)"
MRNY,2026-09-17,0.5670,,,,,1.04,"first-ever MRNY distribution, matches current full share count (1.825928)"
AMDY,2026-09-17,0.3910,,,,,12.98,"matches current post-sale share count (33.207893)"
